rep,id,f,h,L_gap,mab_virus,run_id
3,8|152|8|152|sample|6|322|6|322|65.0,0.222816,1.16484,2.32869,65.0|322,152
4,8|152|8|152|sample|6|322|6|322|65.0,0.18227,1.16484,2.32869,65.0|322,152
5,8|152|8|152|sample|6|322|6|322|65.0,0.23669,1.16484,2.32869,65.0|322,152
6,8|152|8|152|sample|6|322|6|322|65.0,0.217333,1.16484,2.32869,65.0|322,152
7,8|152|8|152|sample|6|322|6|322|65.0,0.2204,1.16484,2.32869,65.0|322,152
8,8|152|8|152|sample|6|322|6|322|65.0,0.2204,1.16484,2.32869,65.0|322,152
9,8|152|8|152|sample|6|322|6|322|65.0,0.2204,1.16484,2.32869,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,0.192118,1.16484,2.32869,65.0|322,152
2,8|152|8|152|sample|5|322|5|322|65.0,0.184567,1.16484,2.32869,65.0|322,152
3,8|152|8|152|sample|5|322|5|322|65.0,0.169014,1.16484,2.32869,65.0|322,152
4,8|152|8|152|sample|5|322|5|322|65.0,0.172958,1.16484,2.32869,65.0|322,152
5,8|152|8|152|sample|5|322|5|322|65.0,0.172958,1.16484,2.32869,65.0|322,152
6,8|152|8|152|sample|5|322|5|322|65.0,0.176183,1.16484,2.32869,65.0|322,152
7,8|152|8|152|sample|5|322|5|322|65.0,0.242744,1.16484,2.32869,65.0|322,152
8,8|152|8|152|sample|5|322|5|322|65.0,0.184018,1.16484,2.32869,65.0|322,152
9,8|152|8|152|sample|5|322|5|322|65.0,0.194744,1.16484,2.32869,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,0.0586085,1.12467,0.2572,28.0|322,152
2,8|152|8|152|sample|12|322|12|322|28.0,0.0672291,1.12467,0.2572,28.0|322,152
3,8|152|8|152|sample|12|322|12|322|28.0,0.0672291,1.12467,0.2572,28.0|322,152
4,8|152|8|152|sample|12|322|12|322|28.0,0.0546408,1.12467,0.2572,28.0|322,152
5,8|152|8|152|sample|12|322|12|322|28.0,0.0674938,1.12467,0.2572,28.0|322,152
6,8|152|8|152|sample|12|322|12|322|28.0,0.057981,1.12467,0.2572,28.0|322,152
7,8|152|8|152|sample|12|322|12|322|28.0,0.057981,1.12467,0.2572,28.0|322,152
8,8|152|8|152|sample|12|322|12|322|28.0,0.0555814,1.12467,0.2572,28.0|322,152
9,8|152|8|152|sample|12|322|12|322|28.0,0.0542763,1.12467,0.2572,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,0.0639974,1.12467,0.2572,28.0|322,152
2,8|152|8|152|sample|11|322|11|322|28.0,0.0639974,1.12467,0.2572,28.0|322,152
